acc,accm,amloc,anpm,cbo,dit,lcom4,loc,noa,noc,nom,npa,npm,rfc,sc, good_design
11,1,1,2.1818181818,0,1,11,11,0,2,11,0,11,11,0,1
7,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1
3,1.2727272727,3.1818181818,1,1,1,11,35,7,2,11,7,11,13,11,1
1,1,4.8,1.2,1,0,4,24,4,0,5,0,5,14,4,1
1,2.5,18.5,1,8,0,6,185,2,0,10,0,7,35,48,1
0,1,4,1,0,1,3,12,2,0,3,0,3,5,0,1
0,2.4285714286,27,1.8571428571,9,2,3,189,4,0,7,0,6,42,27,1
0,1.75,21.75,2,8,2,2,87,1,0,4,0,4,24,16,1
0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1
104,3.9152542373,1.5677966102,1.3898305085,49,8,44,185,13,45,118,10,99,428,2156,0
0,4,19,1,3,1,2,38,1,0,2,0,2,7,6,1
1,1,5,0.6666666667,2,0,3,15,0,0,3,0,1,5,6,1
17,1,1.3333333333,1.1515151515,0,9,32,44,2,8,33,0,23,34,0,1
5,1.8888888889,12.3888888889,1.7222222222,8,9,9,223,5,2,18,5,18,56,72,0
0,1.6875,7.9375,1.28125,12,9,30,254,0,0,32,0,32,77,360,0
0,1.1923076923,4.8846153846,1.3076923077,7,9,25,127,0,0,26,0,26,48,175,1
0,2.6153846154,12.3846153846,1.3076923077,13,9,10,161,1,0,13,0,12,38,130,1
1,13.6666666667,46.6666666667,0.6666666667,3,2,3,140,1,0,3,1,3,10,9,1
0,1.4444444444,6.3333333333,1.3333333333,3,9,8,57,0,0,9,0,9,16,24,1
2,2.5161290323,13.935483871,1.5806451613,16,10,26,432,8,0,31,5,29,91,416,0
0,1,3.5714285714,1.8571428571,0,9,7,25,1,0,7,0,7,7,0,1
0,1.8,7.3,1.4,4,9,8,73,0,0,10,0,10,18,32,1
0,1.8333333333,10,1.7222222222,8,0,9,180,5,0,18,5,14,42,72,1
0,1,1,0.4444444444,0,1,9,9,8,0,9,0,4,9,0,1
0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
3,3.8333333333,13,1.1481481481,8,9,20,702,16,0,54,16,54,246,160,0
1,1.7777777778,7.3888888889,1.5555555556,8,10,13,133,3,0,18,3,18,44,104,0
0,3.6666666667,18.7777777778,1.3333333333,5,9,8,169,0,0,9,0,9,24,40,1
9,3.4285714286,23.1285714286,1.7428571429,22,9,28,1619,30,0,70,8,60,323,616,0
0,3.0769230769,23.3076923077,1.1538461538,9,1,3,303,4,0,13,3,11,69,27,1
0,1,3.5,1,0,1,2,7,1,0,2,0,2,3,0,1
0,1.6666666667,7.7777777778,1.4444444444,2,10,8,70,0,0,9,0,9,14,16,1
1,3.4615384615,21.6923076923,2.1538461538,10,9,11,282,5,0,13,0,12,43,110,1
2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
