"acc","accm","amloc","anpm","anpm_kurtosis","cbo","dit","dit_kurtosis","lcom4","loc","mmloc","noa","noc","nom","npa","npm","rfc","sc"
3,2.5,13.8333333333,2.8333333333,,1,1,,3,83,29,4,0,6,0,4,14,3
0,1,8,4,,1,1,,1,16,12,8,0,2,0,1,19,1
0,1,4.5,1,,1,1,,1,9,5,2,0,2,0,1,7,1
1,1.6666666667,5.6666666667,0.3333333333,,1,0,,1,17,8,2,0,3,0,3,10,1
0,1.3333333333,6,1,,0,1,,1,18,12,4,0,3,0,3,9,0
1,4.25,18.3409090909,2.2727272727,,0,0,,25,807,111,0,0,44,0,42,65,0
0,1,8,3,,1,1,,1,16,11,6,0,2,0,1,15,1
0,1,1,0,,0,0,,1,1,1,0,0,1,0,1,1,0
1,1.7894736842,6.6842105263,0.8947368421,,0,1,,2,254,45,7,0,38,0,30,127,0
0,3.2826086957,17.7608695652,1.152173913,,4,1,,6,817,68,16,0,46,0,31,163,24
0,2.6,18.4,2,,0,1,,5,92,39,2,0,5,0,4,7,0
0,1.25,4.5,0.5,,0,1,,2,18,6,2,0,4,0,4,8,0
0,3.4285714286,16.1428571429,1,,2,0,,1,113,26,6,0,7,2,5,32,2
0,3,80,1,,1,0,,1,80,80,1,0,1,0,1,3,1
0,1.0909090909,21.3636363636,1,,0,0,,1,235,82,0,0,11,0,1,21,0
0,4.5,17.5,0.5,,0,0,,2,35,29,1,0,2,0,2,3,0
0,3.7272727273,19.0909090909,3,,2,0,,3,210,70,16,0,11,0,8,54,6
0,3.2,14,1.6,,0,1,,2,70,42,3,0,5,0,5,12,0
0,1.2692307692,5.2115384615,0.8653846154,,0,1,,40,271,24,3,0,52,0,48,68,0
0,3.5833333333,22,1,,4,1,,1,264,72,7,0,12,0,9,58,4
5,3.1739130435,21.3913043478,0.7826086957,,7,0,,23,492,152,21,0,23,0,21,54,161
0,3,45,1,,1,1,,1,45,45,0,0,1,0,1,6,1
0,1,9,1,,1,1,,1,9,9,0,0,1,0,1,3,1
0,5.3333333333,104,1,,1,1,,1,312,142,4,0,3,0,1,25,1
0,6,92,1,,1,1,,1,92,92,0,0,1,0,1,8,1
0,6,25,1,,1,1,,1,25,25,0,0,1,0,1,7,1
0,11,352,1,,1,1,,1,352,352,0,0,1,0,1,7,1
0,1,7,1,,1,1,,1,7,7,0,0,1,0,1,3,1
0,5.5,47,3,,1,1,,2,94,60,0,0,2,0,2,8,2
0,2,51,1,,1,1,,1,51,51,0,0,1,0,1,5,1
0,2,56,1,,1,1,,1,56,56,0,0,1,0,1,6,1
0,2,17,1,,1,1,,1,17,17,0,0,1,0,1,4,1
0,7,151,1,,1,1,,1,151,151,0,0,1,0,1,8,1
0,4,73,1,,1,1,,1,73,73,0,0,1,0,1,7,1
0,1.8181818182,8.6363636364,0.5454545455,,1,1,,22,190,25,9,0,22,0,14,29,22
0,1.8888888889,7.5555555556,2,,0,1,,1,68,25,4,0,9,0,8,23,0
0,1.4444444444,5,0.7777777778,,0,1,,2,45,15,2,0,9,0,9,19,0
0,1,121.75,1,,0,0,,4,974,953,2,0,8,0,7,14,0
2,3.25,21.25,1.75,,1,0,,1,85,40,3,0,4,1,3,12,1
0,5,24,2,,1,1,,1,24,24,0,0,1,0,1,4,1
0,1.3333333333,4,1,,1,1,,3,12,6,0,0,3,0,3,5,3
1,3.25,13.25,1.625,,1,0,,3,106,22,3,0,8,0,8,29,3
1,1,6,3,,0,0,,1,12,6,3,0,2,3,2,8,0
6,2.3846153846,11.3076923077,0.9230769231,,0,0,,1,147,46,5,0,13,0,12,41,0
0,3.1,11.9,1,,1,1,,3,119,57,9,0,10,5,10,32,3
0,6.5,37.8333333333,1,,1,1,,4,454,270,6,0,12,0,9,41,4
0,1.9090909091,38.6818181818,1,,0,0,,11,851,725,9,0,22,8,21,44,0
1,7.8333333333,42.5416666667,1.2083333333,,4,0,,1,1021,139,26,0,24,2,12,170,4
0,3.1111111111,13.4444444444,0.6666666667,,1,1,,2,121,33,6,0,9,0,9,44,2
3,1.6666666667,6.1666666667,0.8333333333,,0,0,,2,37,19,3,1,6,3,6,22,0
1,1.7142857143,6.7142857143,1,,1,1,,3,47,13,1,0,7,1,7,25,3
2,2.2857142857,17.7142857143,0.7142857143,,1,2,,5,124,67,10,0,7,7,4,19,5
0,2.5,8,0,,2,0,,2,16,12,1,0,2,0,2,5,4
1,1.5,6.5,1,,1,0,,1,13,8,2,0,2,0,2,8,1
2,4.2941176471,23.5882352941,0.7647058824,,2,1,,3,401,85,3,0,17,0,11,62,6
0,2,5,0,,1,0,,1,5,5,0,0,1,0,1,3,1
1,2.4,10.2,1,,1,0,,1,51,24,3,0,5,0,0,18,1
1,1,3,1,,0,0,,1,3,3,4,0,1,0,0,2,0
0,1,3,0,,0,1,,1,3,3,0,0,1,0,1,1,0
1,2.3333333333,10.6666666667,1.6666666667,,1,0,,1,32,18,4,0,3,0,2,11,1
1,7,35,1,,1,0,,1,70,61,9,0,2,0,0,18,1
2,4.1,23.3,0.6,,0,1,,2,233,64,8,1,10,0,5,44,0
0,10,56,1,,0,1,,1,56,56,6,0,1,6,1,6,0
0,1.1363636364,6.8181818182,1.0454545455,,0,1,,2,150,70,4,0,22,1,19,43,0
252,1,1,1,,0,0,,18,18,1,0,1,18,0,18,18,0
0,1,3,1,,0,0,,4,12,3,1,0,4,0,4,4,0
0,1.1428571429,4.5714285714,0.7142857143,,0,0,,3,32,9,1,0,7,0,6,13,0
0,2.5,27.5,1.5,,0,1,,1,55,41,7,0,2,0,1,6,0
0,1,9,1,,0,1,,1,9,9,1,0,1,0,1,2,0
0,0,0,0,,0,0,,0,0,0,2,0,0,2,0,0,0
0,0,0,0,,0,0,,0,0,0,11,0,0,11,0,0,0
0,1,3,0,,0,0,,1,3,3,8,0,1,6,0,1,0
0,0,0,0,,0,0,,0,0,0,2,0,0,2,0,0,0
3,0,0,0,,0,0,,0,0,0,56,2,0,56,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,2,0,0,2,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,5,0,0,5,0,0,0
0,0,0,0,,0,0,,0,0,0,20,0,0,20,0,0,0
0,0,0,0,,0,0,,0,0,0,39,0,0,39,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,1.2,50.8,0.8,,0,0,,5,254,237,65,0,5,61,4,9,0
0,0,0,0,,0,0,,0,0,0,38,0,0,35,0,0,0
0,1,4,1,,0,0,,1,4,4,1,0,1,1,1,1,0
0,0,0,0,,0,0,,0,0,0,5,0,0,5,0,0,0
0,0,0,0,,0,0,,0,0,0,4,0,0,4,0,0,0
0,0,0,0,,0,0,,0,0,0,4,0,0,4,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,18,0,0,18,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,3,0,0,3,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,4,0,0,4,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,63,0,0,63,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,0,0,0,,0,0,,0,0,0,6,0,0,6,0,0,0
0,0,0,0,,0,0,,0,0,0,17,0,0,17,0,0,0
0,1,211,0,,0,0,,1,211,211,11,0,1,11,0,1,0
0,0,0,0,,0,0,,0,0,0,8,0,0,8,0,0,0
0,0,0,0,,0,0,,0,0,0,1,0,0,1,0,0,0
0,1.5,4,1.6666666667,,0,0,,1,24,5,2,0,6,0,6,14,0
0,2.2142857143,7.7857142857,1.2857142857,,1,0,,2,109,13,6,0,14,0,11,45,2
0,2.6666666667,11,3.3333333333,,0,1,,3,33,17,5,0,3,4,3,7,0
0,24,145,4,,0,1,,1,145,145,0,0,1,0,1,1,0
0,3.6666666667,14.6666666667,2.6666666667,,0,2,,2,44,27,0,0,3,0,2,4,0
0,2.6666666667,10.6666666667,2.3333333333,,0,1,,1,32,19,4,0,3,0,3,13,0
0,12,84,4,,0,1,,1,84,84,0,0,1,0,1,1,0
0,8,64,4,,0,1,,1,64,64,1,0,1,0,1,2,0
0,4,31,4,,0,1,,1,31,31,1,0,1,0,1,2,0
0,10,61,4,,0,1,,1,61,61,0,0,1,0,1,1,0
0,14,90,4,,0,1,,1,90,90,0,0,1,0,1,1,0
1,2,14,2.5,,0,1,,1,28,25,1,1,2,0,2,4,0
0,6,50,4,,0,1,,1,50,50,1,0,1,0,1,2,0
0,10,61,4,,0,1,,1,61,61,0,0,1,0,1,1,0
1,2.6,12,1.4,,0,1,,1,60,17,4,0,5,0,3,17,0
0,16.3333333333,95.6666666667,3,,1,1,,1,287,256,0,0,3,0,1,6,1
0,2.25,12.75,1.5,,0,1,,3,51,22,10,0,4,9,4,8,0
0,3,14.5,2.5,,0,1,,2,29,20,2,0,2,1,2,4,0
0,1,3,1.5,,0,1,,2,6,3,1,0,2,0,2,2,0
0,1,4,1,,0,1,,1,4,4,0,0,1,0,1,1,0
1,2.4594594595,11,1.2432432432,,2,1,,1,407,62,7,0,37,0,33,146,2
0,1.4285714286,6.8571428571,0.2857142857,,1,1,,2,48,22,2,0,7,0,6,18,2
0,1,3.5,0.1666666667,,1,1,,2,21,4,1,0,6,0,6,13,2
3,1.3333333333,5,1.3333333333,,0,0,,1,15,7,7,0,3,7,3,8,0
0,2,8,0.5,,0,1,,2,16,13,2,0,2,1,2,3,0
0,2.5,11,2,,0,1,,2,22,13,3,0,2,2,2,4,0
0,2.5,15,3,,0,1,,3,60,22,6,0,4,5,4,10,0
0,1.5294117647,7.1764705882,1.1764705882,,1,1,,1,244,27,7,0,34,3,31,126,1
0,2.1428571429,10.8571428571,1.8571428571,,0,1,,4,76,27,10,0,7,8,7,17,0
3,3,18,1.25,,0,0,,1,72,27,3,0,4,0,3,11,0
156,2.6666666667,15,1.3333333333,,0,0,,2,90,31,3,0,6,0,5,15,0
4,3,18.25,1.25,,0,0,,1,73,28,3,0,4,0,3,11,0
0,1.6666666667,6.3333333333,0.6666666667,,0,1,,3,19,13,2,0,3,1,3,4,0
1,5.6666666667,27.6666666667,1.3333333333,,0,1,,1,83,52,2,0,3,0,2,7,0
0,1,4,1.5,,1,0,,1,8,5,3,0,2,0,2,9,1
0,3.25,20.25,1,,0,1,,1,81,38,2,0,4,0,3,9,0
8,1,1,1.25,,0,0,,4,4,1,0,1,4,0,4,4,0
4,1,1,4,,0,0,,1,1,1,0,1,1,0,1,1,0
4,1,1,0.6666666667,,0,0,,3,3,1,0,3,3,0,3,3,0
0,1,1,2.125,,0,0,,8,8,1,1,0,8,1,8,8,0
0,1,1,1,,0,0,,4,4,1,0,0,4,0,4,4,0
0,1,1,2,,0,0,,8,8,1,0,0,8,0,8,8,0
3,1,2.8333333333,0.5,,0,0,,4,17,6,3,0,6,0,5,10,0
0,1,1,2.6428571429,,0,0,,42,42,1,69,0,42,69,42,42,0
0,0,0,0,,0,0,,0,0,0,17,0,0,17,0,0,0
0,1,1,1.5,,0,0,,6,6,1,0,0,6,0,6,6,0
0,2.1818181818,9.9090909091,0.4545454545,,0,0,,5,109,56,38,0,11,36,5,55,0
0,1,1,1.8,,0,0,,5,5,1,0,0,5,0,5,5,0
0,1,1,1.2222222222,,0,0,,9,9,1,6,0,9,6,9,9,0
0,1,1,2.5,,0,0,,4,4,1,2,0,4,2,4,4,0
0,1,1,2.8,,0,0,,5,5,1,0,0,5,0,5,5,0
0,1,1,1.25,,0,0,,8,8,1,22,0,8,14,7,8,0
0,1,1,1,,0,0,,1,1,1,0,0,1,0,1,1,0
0,1,1,2.3333333333,,0,0,,12,12,1,11,0,12,11,12,12,0
0,1,1,1.6923076923,,0,0,,13,13,1,0,0,13,0,13,13,0
0,1,1,0,,0,0,,1,1,1,0,0,1,0,1,1,0
0,1,1,2.7142857143,,0,0,,7,7,1,34,0,7,34,7,7,0
0,1,1,2.4615384615,,0,0,,13,13,1,0,0,13,0,13,13,0
0,1,1,3,,0,0,,1,1,1,0,0,1,0,1,1,0
0,1,1,1.5,,0,0,,8,8,1,0,0,8,0,8,8,0
3,0,0,0,,0,0,,0,0,0,6,0,0,6,0,0,0
0,1,1,2.972972973,,0,0,,37,37,1,34,0,37,34,36,37,0
6,3.3333333333,14.7916666667,0.7291666667,,5,0,,1,710,63,21,0,48,0,31,286,5
5,2.4285714286,26.1428571429,0.9285714286,,7,0,,7,1098,605,53,0,42,0,27,159,49
1,1,1,7,,0,0,,1,1,1,0,0,1,0,1,1,0
0,1,1,1,,0,0,,1,1,1,0,0,1,0,1,1,0
1,1,1,3,,0,0,,1,1,1,0,0,1,0,1,1,0
1,4.5,23.75,0.25,,2,0,,1,95,53,5,0,4,0,1,25,2
0,2.5,7.5,0,,1,0,,2,15,12,0,0,2,0,1,6,2
2,4.8181818182,28.1818181818,0.5454545455,,2,0,,1,310,135,14,0,11,2,2,78,2
3,1,1,2.5,,0,0,,2,2,1,0,1,2,0,2,2,0
1,1,1,1.5,,0,1,,2,2,1,0,1,2,0,2,2,0
2,1.25,3.75,1,,0,1,,3,15,5,11,0,4,8,4,11,0
0,1,1,1.0625,,0,0,,16,16,1,121,0,16,121,16,16,0
0,1,1,2.5714285714,,0,0,,14,14,1,0,0,14,0,14,14,0
0,1.3571428571,2.7857142857,2.0714285714,,0,0,,14,39,19,4,0,14,3,14,14,0
0,1,1,1.8571428571,,0,0,,7,7,1,0,0,7,0,7,7,0
0,1,1,1.0185185185,,0,0,,1,54,1,59,0,54,59,53,107,0
0,1,1,1.6666666667,,0,0,,9,9,1,0,0,9,0,9,9,0
0,1,2,0.8333333333,,0,0,,6,12,4,2,0,6,2,6,8,0
0,1,1,1.8,,0,0,,10,10,1,0,0,10,0,10,10,0
8,1,1,0.5294117647,,0,1,,17,17,1,0,1,17,0,17,17,0
1,1,1,0,,0,0,,1,1,1,0,1,1,0,1,1,0
0,2.8571428571,23.2857142857,0.5714285714,,0,1,,4,163,53,12,0,7,2,6,20,0
0,1.125,8.875,1,,7,1,,2,71,20,2,0,8,0,8,37,14
1,1.4,4.6,1.8,,2,2,,4,23,13,1,0,5,0,4,11,8
1,2.2,7.2,1.6,,2,1,,2,36,17,1,0,5,0,5,13,4
0,2,10.7142857143,1.4285714286,,4,1,,3,75,24,2,0,7,0,5,27,12
1,1.2,4.2,1.8,,1,1,,2,21,7,2,0,5,0,5,11,2
9,4.0416666667,19.25,0.9583333333,,4,0,,3,462,123,29,2,24,13,20,165,12
2,1,1,2,,0,0,,2,2,1,0,1,2,0,2,2,0
8,1.3125,7.6875,0.875,,2,0,,7,123,48,9,0,16,3,15,37,14
5,1,1.3333333333,1.3333333333,,0,0,,6,8,3,1,2,6,0,6,7,0
2,1,1,2,,0,0,,1,1,1,0,1,1,0,1,1,0
0,0,0,0,,0,1,,0,0,0,0,0,0,0,0,0,0
5,1.6774193548,8.1290322581,0.9677419355,,0,0,,1,252,34,17,0,31,13,23,120,0
5,2,12.2777777778,0.9444444444,,3,0,,3,221,72,8,0,18,3,17,78,9
0,1.6,5.8,0.6,,2,1,,3,29,11,3,0,5,0,4,18,6
5,1,2.5,0,,0,0,,2,5,3,2,2,2,0,2,3,0
0,1,7,4,,1,2,,2,14,9,1,0,2,0,2,8,2
0,1.3333333333,5.6666666667,1,,1,1,,1,17,9,1,0,3,0,3,9,1
1,1.25,5.75,1,,3,1,,1,23,11,3,0,4,0,4,15,3
3,1.25,4.5,2.25,,1,2,,1,18,8,2,2,4,0,4,15,1
0,2,8.3333333333,1,,1,1,,1,25,13,1,0,3,0,3,9,1
47,7,27,1.25,,2,1,,2,108,82,4,19,4,0,3,16,4
0,1,5.5,1.5,,3,1,,1,11,6,1,0,2,0,2,9,3
0,1,3,0.5,,0,0,,2,6,3,1,0,2,0,2,2,0
1,1.8,10.7,0.2,,0,0,,1,107,39,11,0,10,0,2,48,0
0,1.5,10.1666666667,1.8333333333,,1,2,,1,61,31,6,0,6,0,3,35,1
18,3,7.7142857143,0.4285714286,,1,1,,4,54,36,3,12,7,0,5,14,4
0,1,3.3333333333,0.6666666667,,0,2,,2,10,4,2,0,3,0,2,5,0
